"","Gene","Gene_id","Disease","Disease_id","Score_gda","Association_Type"
"87","NGF",4803,"Mental Depression","C0011570",0.58,"Biomarker"
"88","CLOCK",9575,"Mental Depression","C0011570",0.39,"Biomarker"
"89","DPYSL2",1808,"Mental Depression","C0011570",0.33,"Biomarker"
"90","GAD1",2571,"Mental Depression","C0011570",0.4,"Biomarker"
"91","HCN1",348980,"Mental Depression","C0011570",0.31,"Biomarker"
"92","FGFR1",2260,"Mental Depression","C0011570",0.33,"Biomarker"
"93","KCNK2",3776,"Mental Depression","C0011570",0.4,"Biomarker"
"94","CRHBP",1393,"Mental Depression","C0011570",0.52,"Biomarker"
"95","CYP2D6",1565,"Mental Depression","C0011570",0.4,"Biomarker"
"96","APP",351,"Mental Depression","C0011570",0.33,"Biomarker"
"98","GRIN2B",2904,"Mental Depression","C0011570",0.4,"Biomarker"
"99","P2RX7",5027,"Mental Depression","C0011570",0.4,"Biomarker"
"100","DUSP1",1843,"Mental Depression","C0011570",0.33,"Biomarker"
"102","GRM1",2911,"Mental Depression","C0011570",0.3,"Biomarker"
"103","GTS",2973,"Mental Depression","C0011570",0.32,"Biomarker"
"104","NOS3",4846,"Mental Depression","C0011570",0.35,"Biomarker"
"105","RELN",5649,"Mental Depression","C0011570",0.33,"Biomarker"
"106","STMN1",3925,"Mental Depression","C0011570",0.32,"Biomarker"
"107","PDE4A",5141,"Mental Depression","C0011570",0.36,"Biomarker"
"108","TPH1",7166,"Mental Depression","C0011570",0.6,"Biomarker"
"109","ATP1A3",478,"Mental Depression","C0011570",0.3,"Biomarker"
"110","DRD2",1813,"Mental Depression","C0011570",0.6,"Biomarker"
"111","GRN",2896,"Mental Depression","C0011570",0.3,"Biomarker"
"112","PDE4B",5142,"Mental Depression","C0011570",0.35,"Biomarker"
"113","CNR1",1268,"Mental Depression","C0011570",0.4,"Biomarker"
"114","GRPR",2925,"Mental Depression","C0011570",0.3,"Biomarker"
"115","CXCL8",3576,"Mental Depression","C0011570",0.38,"Biomarker"
"116","IL1A",3552,"Mental Depression","C0011570",0.39,"Biomarker"
"117","SLCO1C1",53919,"Mental Depression","C0011570",0.31,"Biomarker"
"118","NTRK2",4915,"Mental Depression","C0011570",0.6,"Biomarker"
"119","TNFRSF1B",7133,"Mental Depression","C0011570",0.34,"Biomarker"
"120","HTR4",3360,"Mental Depression","C0011570",0.33,"Biomarker"
"121","NPY",4852,"Mental Depression","C0011570",0.6,"Biomarker"
"122","MTHFR",4524,"Mental Depression","C0011570",0.4,"Biomarker"
"123","GRIK3",2899,"Mental Depression","C0011570",0.31,"Biomarker"
"125","NPSR1",387129,"Mental Depression","C0011570",0.31,"Biomarker"
"126","HDAC6",10013,"Mental Depression","C0011570",0.31,"Biomarker"
"127","NR3C1",2908,"Mental Depression","C0011570",0.6,"Biomarker"
"128","AKT1",207,"Mental Depression","C0011570",0.35,"Biomarker"
"129","DRD3",1814,"Mental Depression","C0011570",0.37,"Biomarker"
"131","TIMELESS",8914,"Mental Depression","C0011570",0.32,"Biomarker"
"132","HP",3240,"Mental Depression","C0011570",0.36,"Biomarker"
"133","HCRT",3060,"Mental Depression","C0011570",0.4,"Biomarker"
"135","COMT",1312,"Mental Depression","C0011570",0.4,"Biomarker"
"137","DRD4",1815,"Mental Depression","C0011570",0.4,"Biomarker"
"138","TH",7054,"Mental Depression","C0011570",0.5,"Biomarker"
"139","HTR1A",3350,"Mental Depression","C0011570",0.4,"Biomarker"
"142","SLC6A3",6531,"Mental Depression","C0011570",0.4,"Biomarker"
"143","AGT",183,"Mental Depression","C0011570",0.33,"Biomarker"
"144","IMPA2",3613,"Mental Depression","C0011570",0.3,"Biomarker"
"145","PENK",5179,"Mental Depression","C0011570",0.3,"Biomarker"
"146","HTT",3064,"Mental Depression","C0011570",0.32,"Biomarker"
"147","DUSP4",1846,"Mental Depression","C0011570",0.3,"Biomarker"
"149","GNB3",2784,"Mental Depression","C0011570",0.34,"Biomarker"
"150","CRHR1",1394,"Mental Depression","C0011570",0.6,"Biomarker"
"152","PDYN",5173,"Mental Depression","C0011570",0.33,"Biomarker"
"157","CHRNA2",1135,"Mental Depression","C0011570",0.3,"Biomarker"
"158","IDO1",3620,"Mental Depression","C0011570",0.4,"Biomarker"
"160","TRH",7200,"Mental Depression","C0011570",0.34,"Biomarker"
"162","SFRP1",6422,"Mental Depression","C0011570",0.3,"Biomarker"
"165","GFAP",2670,"Mental Depression","C0011570",0.36,"Biomarker"
"166","MCHR1",2847,"Mental Depression","C0011570",0.33,"Biomarker"
"167","TNFRSF1A",7132,"Mental Depression","C0011570",0.36,"Biomarker"
"168","FGF20",26281,"Mental Depression","C0011570",0.3,"Biomarker"
"169","MAPK3",5595,"Mental Depression","C0011570",0.35,"Biomarker"
"174","FOLH1",2346,"Mental Depression","C0011570",0.31,"Biomarker"
"175","SLC1A1",6505,"Mental Depression","C0011570",0.3,"Biomarker"
"176","MAOA",4128,"Mental Depression","C0011570",0.4,"Biomarker"
"177","PER2",8864,"Mental Depression","C0011570",0.35,"Biomarker"
"178","OXT",5020,"Mental Depression","C0011570",0.32,"Biomarker"
"179","APRT",353,"Mental Depression","C0011570",0.33,"Biomarker"
"181","DPP4",1803,"Mental Depression","C0011570",0.31,"Biomarker"
"183","DBH",1621,"Mental Depression","C0011570",0.53,"Biomarker"
"185","CHRNB3",1142,"Mental Depression","C0011570",0.3,"Biomarker"
"186","PSEN1",5663,"Mental Depression","C0011570",0.33,"Biomarker"
"187","CRH",1392,"Mental Depression","C0011570",0.6,"Biomarker"
"188","SNAP25",6616,"Mental Depression","C0011570",0.3,"Biomarker"
"191","FGFR2",2263,"Mental Depression","C0011570",0.3,"Biomarker"
"199","RNF123",63891,"Mental Depression","C0011570",0.31,"Biomarker"
"200","OXTR",5021,"Mental Depression","C0011570",0.4,"Biomarker"
"202","CACNA1C",775,"Mental Depression","C0011570",0.37,"Biomarker"
"204","FEV",54738,"Mental Depression","C0011570",0.3,"Biomarker"
"205","DKK4",27121,"Mental Depression","C0011570",0.3,"Biomarker"
"207","IL18",3606,"Mental Depression","C0011570",0.39,"Biomarker"
"208","ARHGEF10",9639,"Mental Depression","C0011570",0.3,"Biomarker"
"211","IL6",3569,"Mental Depression","C0011570",0.6,"Biomarker"
"214","TPH2",121278,"Mental Depression","C0011570",0.4,"Biomarker"
"215","LEP",3952,"Mental Depression","C0011570",0.4,"Biomarker"
"217","NOS2",4843,"Mental Depression","C0011570",0.35,"Biomarker"
"218","GLO1",2739,"Mental Depression","C0011570",0.33,"Biomarker"
"219","CALM2",805,"Mental Depression","C0011570",0.31,"Biomarker"
"220","IL1B",3553,"Mental Depression","C0011570",0.6,"Biomarker"
"221","HTR1B",3351,"Mental Depression","C0011570",0.36,"Biomarker"
"226","CHAT",1103,"Mental Depression","C0011570",0.32,"Biomarker"
"227","NCAM1",4684,"Mental Depression","C0011570",0.33,"Biomarker"
"231","ARTN",9048,"Mental Depression","C0011570",0.4,"Biomarker"
"232","GSTM1",2944,"Mental Depression","C0011570",0.32,"Biomarker"
"233","WWC1",23286,"Mental Depression","C0011570",0.31,"Biomarker"
"234","GYPE",2996,"Mental Depression","C0011570",0.31,"Biomarker"
"236","NTS",4922,"Mental Depression","C0011570",0.31,"Biomarker"
"240","CRY2",1408,"Mental Depression","C0011570",0.32,"Biomarker"
"241","VGF",7425,"Mental Depression","C0011570",0.34,"Biomarker"
"243","POMC",5443,"Mental Depression","C0011570",0.4,"Biomarker"
"245","ERBB3",2065,"Mental Depression","C0011570",0.31,"Biomarker"
"246","CREB1",1385,"Mental Depression","C0011570",0.4,"Biomarker"
"247","COX2",4513,"Mental Depression","C0011570",0.37,"Biomarker"
"248","GABRB3",2562,"Mental Depression","C0011570",0.33,"Biomarker"
"249","PPP1R1B",84152,"Mental Depression","C0011570",0.51,"Biomarker"
"252","CYP2C19",1557,"Mental Depression","C0011570",0.37,"Biomarker"
"254","PTGS2",5743,"Mental Depression","C0011570",0.4,"Biomarker"
"255","DISC1",27185,"Mental Depression","C0011570",0.4,"Biomarker"
"261","GRIN2A",2903,"Mental Depression","C0011570",0.33,"Biomarker"
"264","MAOB",4129,"Mental Depression","C0011570",0.35,"Biomarker"
"265","CHRNA4",1137,"Mental Depression","C0011570",0.34,"Biomarker"
"266","SLC6A1",6529,"Mental Depression","C0011570",0.3,"Biomarker"
"268","FKBP5",2289,"Mental Depression","C0011570",0.4,"Biomarker"
"271","GAL",51083,"Mental Depression","C0011570",0.4,"Biomarker"
"274","HTR2C",3358,"Mental Depression","C0011570",0.4,"Biomarker"
"276","HCRTR1",3061,"Mental Depression","C0011570",0.3,"Biomarker"
"279","SGCE",8910,"Mental Depression","C0011570",0.3,"Biomarker"
"280","HTR2A",3356,"Mental Depression","C0011570",0.6,"Biomarker"
"281","FGF17",8822,"Mental Depression","C0011570",0.3,"Biomarker"
"284","PCLO",27445,"Mental Depression","C0011570",0.37,"Biomarker"
"285","CARTPT",9607,"Mental Depression","C0011570",0.34,"Biomarker"
"290","CPLX2",10814,"Mental Depression","C0011570",0.31,"Biomarker"
"291","CAMK2A",815,"Mental Depression","C0011570",0.32,"Biomarker"
"293","PPP3CC",5533,"Mental Depression","C0011570",0.3,"Biomarker"
"294","BRCA1",672,"Mental Depression","C0011570",0.35,"Biomarker"
"296","VEGFA",7422,"Mental Depression","C0011570",0.4,"Biomarker"
"298","HDAC5",10014,"Mental Depression","C0011570",0.5,"Biomarker"
"300","OR7D4",125958,"Mental Depression","C0011570",0.3,"Biomarker"
"301","CNTF",1270,"Mental Depression","C0011570",0.32,"Biomarker"
"302","A2M",2,"Mental Depression","C0011570",0.3,"Biomarker"
"305","HOMER1",9456,"Mental Depression","C0011570",0.34,"Biomarker"
"307","ABCB1",5243,"Mental Depression","C0011570",0.4,"Biomarker"
"308","WFS1",7466,"Mental Depression","C0011570",0.32,"Biomarker"
"310","GAP43",2596,"Mental Depression","C0011570",0.33,"Biomarker"
"311","GRIA3",2892,"Mental Depression","C0011570",0.32,"Biomarker"
"313","DUSP6",1848,"Mental Depression","C0011570",0.3,"Biomarker"
"315","CMKLR1",1240,"Mental Depression","C0011570",0.31,"Biomarker"
"317","IFNG",3458,"Mental Depression","C0011570",0.4,"Biomarker"
"318","MAPK8",5599,"Mental Depression","C0011570",0.31,"Biomarker"
"320","SOD1",6647,"Mental Depression","C0011570",0.32,"Biomarker"
"326","SLC6A4",6532,"Mental Depression","C0011570",0.6,"Biomarker"
"327","HTR7",3363,"Mental Depression","C0011570",0.33,"Biomarker"
"330","OPRM1",4988,"Mental Depression","C0011570",0.33,"Biomarker"
"336","MED12",9968,"Mental Depression","C0011570",0.32,"Biomarker"
"338","CNR2",1269,"Mental Depression","C0011570",0.35,"Biomarker"
"340","BICC1",80114,"Mental Depression","C0011570",0.37,"Biomarker"
"343","PDE4D",5144,"Mental Depression","C0011570",0.5,"Biomarker"
"346","ATF3",467,"Mental Depression","C0011570",0.31,"Biomarker"
"351","ANKK1",255239,"Mental Depression","C0011570",0.32,"Biomarker"
"354","DEAF1",10522,"Mental Depression","C0011570",0.31,"Biomarker"
"356","SLC6A2",6530,"Mental Depression","C0011570",0.6,"Biomarker"
"357","PER3",8863,"Mental Depression","C0011570",0.33,"Biomarker"
"359","MC4R",4160,"Mental Depression","C0011570",0.31,"Biomarker"
"364","DRD1",1812,"Mental Depression","C0011570",0.53,"Biomarker"
"367","TACR1",6869,"Mental Depression","C0011570",0.32,"Biomarker"
"375","TLE1",7088,"Mental Depression","C0011570",0.31,"Biomarker"
"376","OAS2",4939,"Mental Depression","C0011570",0.31,"Biomarker"
"385","MTR",4548,"Mental Depression","C0011570",0.32,"Biomarker"
"386","HIF1A",3091,"Mental Depression","C0011570",0.31,"Biomarker"
"391","ADCY7",113,"Mental Depression","C0011570",0.32,"Biomarker"
"405","IGF1",3479,"Mental Depression","C0011570",0.4,"Biomarker"
"412","LTA4H",4048,"Mental Depression","C0011570",0.31,"Biomarker"
"413","SRD5A1",6715,"Mental Depression","C0011570",0.3,"Biomarker"
"419","ADRA2A",150,"Mental Depression","C0011570",0.53,"Biomarker"
"420","GRIA1",2890,"Mental Depression","C0011570",0.38,"Biomarker"
"422","FTO",79068,"Mental Depression","C0011570",0.35,"Biomarker"
"423","PNOC",5368,"Mental Depression","C0011570",0.31,"Biomarker"
"425","HDAC9",9734,"Mental Depression","C0011570",0.32,"Biomarker"
"432","ARNTL",406,"Mental Depression","C0011570",0.36,"Biomarker"
"433","ADCYAP1",116,"Mental Depression","C0011570",0.31,"Biomarker"
"435","CHRNA6",8973,"Mental Depression","C0011570",0.3,"Biomarker"
"436","GSTT1",2952,"Mental Depression","C0011570",0.3,"Biomarker"
"437","ATP2A2",488,"Mental Depression","C0011570",0.3,"Biomarker"
"440","MC1R",4157,"Mental Depression","C0011570",0.31,"Biomarker"
"444","GSK3B",2932,"Mental Depression","C0011570",0.58,"Biomarker"
"449","HTR3B",9177,"Mental Depression","C0011570",0.31,"Biomarker"
"450","DLG4",1742,"Mental Depression","C0011570",0.31,"Biomarker"
"452","BDNF",627,"Mental Depression","C0011570",0.6,"Biomarker"
"465","DTNBP1",84062,"Mental Depression","C0011570",0.33,"Biomarker"
"467","PRKCI",5584,"Mental Depression","C0011570",0.3,"Biomarker"
"472","HSD11B1",3290,"Mental Depression","C0011570",0.33,"Biomarker"
"476","S100A10",6281,"Mental Depression","C0011570",0.6,"Biomarker"
"477","TBX19",9095,"Mental Depression","C0011570",0.3,"Biomarker"
"487","NPAS2",4862,"Mental Depression","C0011570",0.3,"Biomarker"
"488","ESR1",2099,"Mental Depression","C0011570",0.4,"Biomarker"
"500","BAG1",573,"Mental Depression","C0011570",0.3,"Biomarker"
"503","SYN1",6853,"Mental Depression","C0011570",0.31,"Biomarker"
"504","AQP4",361,"Mental Depression","C0011570",0.31,"Biomarker"
"517","UCN",7349,"Mental Depression","C0011570",0.32,"Biomarker"
"518","CHRM2",1129,"Mental Depression","C0011570",0.54,"Biomarker"
"519","CDKN2A",1029,"Mental Depression","C0011570",0.32,"Biomarker"
"527","LIF",3976,"Mental Depression","C0011570",0.3,"Biomarker"
"535","RORA",6095,"Mental Depression","C0011570",0.33,"Biomarker"
"543","ASMT",438,"Mental Depression","C0011570",0.31,"Biomarker"
"550","KCNJ6",3763,"Mental Depression","C0011570",0.31,"Biomarker"
"552","RAC1",5879,"Mental Depression","C0011570",0.32,"Biomarker"
"555","LDHA",3939,"Mental Depression","C0011570",0.31,"Biomarker"
"556","EGR3",1960,"Mental Depression","C0011570",0.31,"Biomarker"
"561","DAOA-AS1",282706,"Mental Depression","C0011570",0.31,"Biomarker"
"564","CPLX1",10815,"Mental Depression","C0011570",0.31,"Biomarker"
"566","PYY",5697,"Mental Depression","C0011570",0.31,"Biomarker"
"569","NRG1",3084,"Mental Depression","C0011570",0.33,"Biomarker"
"572","GABRA6",2559,"Mental Depression","C0011570",0.31,"Biomarker"
"576","GPX1",2876,"Mental Depression","C0011570",0.32,"Biomarker"
"585","DAOA",267012,"Mental Depression","C0011570",0.32,"Biomarker"
"586","SLC29A3",55315,"Mental Depression","C0011570",0.31,"Biomarker"
"595","SLC18A1",6570,"Mental Depression","C0011570",0.32,"Biomarker"
"596","PEX5L",51555,"Mental Depression","C0011570",0.31,"Biomarker"
"608","IL6R",3570,"Mental Depression","C0011570",0.51,"Biomarker"
"611","ADCY5",111,"Mental Depression","C0011570",0.32,"Biomarker"
"615","CSMD2",114784,"Mental Depression","C0011570",0.3,"Biomarker"
"619","ADCY8",114,"Mental Depression","C0011570",0.31,"Biomarker"
"626","HDAC4",9759,"Mental Depression","C0011570",0.31,"Biomarker"
"653","NEFM",4741,"Mental Depression","C0011570",0.3,"Biomarker"
"671","M6PR",4074,"Mental Depression","C0011570",0.31,"Biomarker"
"678","LGI1",9211,"Mental Depression","C0011570",0.31,"Biomarker"
"683","AANAT",15,"Mental Depression","C0011570",0.3,"Biomarker"
"690","NGFR",4804,"Mental Depression","C0011570",0.31,"Biomarker"
"691","ALK",238,"Mental Depression","C0011570",0.3,"Biomarker"
"693","NRXN1",9378,"Mental Depression","C0011570",0.32,"Biomarker"
"696","SERPINA6",866,"Mental Depression","C0011570",0.3,"Biomarker"
"707","SOD2",6648,"Mental Depression","C0011570",0.31,"Biomarker"
"718","PFKFB3",5209,"Mental Depression","C0011570",0.31,"Biomarker"
"745","ATF4",468,"Mental Depression","C0011570",0.3,"Biomarker"
"746","GLUL",2752,"Mental Depression","C0011570",0.31,"Biomarker"
"781","GABRA3",2556,"Mental Depression","C0011570",0.3,"Biomarker"
"784","NPS",594857,"Mental Depression","C0011570",0.32,"Biomarker"
"802","PMCH",5367,"Mental Depression","C0011570",0.32,"Biomarker"
"809","ARRB2",409,"Mental Depression","C0011570",0.3,"Biomarker"
"811","CRY1",1407,"Mental Depression","C0011570",0.31,"Biomarker"
"813","DRD3",1814,"Gambling","C0016995",0.3,"Biomarker"
"814","HOMER1",9456,"Hallucinations","C0018524",0.31,"Biomarker"
"815","CASP2",835,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"816","ZNF526",116115,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"817","SCN8A",6334,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"818","FOXG1",2290,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"819","ALDH5A1",7915,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"820","WDR45B",56270,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"821","KDM6B",23135,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"822","CCNA2",890,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"823","FASN",2194,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"824","FGFR2",2263,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"825","LINS1",55180,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"826","SYNGAP1",8831,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"827","BBS7",55212,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"828","DCC",1630,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"829","KDM5A",5927,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"830","MAN1B1",11253,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"831","SRD5A3",79644,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"832","SETBP1",26040,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"833","H3-4",8290,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"834","PARP1",142,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"835","RAI1",10743,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"836","PEX6",5190,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"837","MED13L",23389,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"838","H4C3",8364,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"839","CNKSR1",10256,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"840","FOLR1",2348,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"841","NAA15",80155,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"842","ZCCHC8",55596,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"843","ACBD6",84320,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"844","COQ5",84274,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"845","PRKCG",5582,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"846","NSD1",64324,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"847","NRXN1",9378,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"848","PRRT2",112476,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"849","CNDP1",84735,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"850","SURF1",6834,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"851","ELP2",55250,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"852","AP4M1",9179,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"853","COL18A1",80781,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"854","PRKRA",8575,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"855","SCAPER",49855,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"856","GAMT",2593,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"857","UROC1",131669,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"858","ERLIN2",11160,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"859","ADRA2B",151,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"860","PHIP",55023,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"861","RAB39B",116442,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"862","PTEN",5728,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"863","FMR1",2332,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"864","ADK",132,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"865","POLR3B",55703,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"866","CACNA1G",8913,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"867","MCC",4163,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"868","H4C2",8366,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"870","KIFBP",26128,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"871","GNAS",2778,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"872","KIF7",374654,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"873","YY1",7528,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"874","MFSD2A",84879,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"875","NDST1",3340,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"876","DEAF1",10522,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"879","AP4E1",23431,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"880","SCN1A",6323,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"881","TSEN2",80746,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"882","L2HGDH",79944,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"883","PDHX",8050,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"884","HDAC4",9759,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"885","SIN3A",25942,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"886","MECP2",4204,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"887","BDNF",627,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"888","NTF4",4909,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"889","STAG1",10274,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"890","INPP5E",56623,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"891","TRMT1",55621,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"892","TBCD",6904,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"893","ARL14EP",120534,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"894","MEF2C",4208,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"895","NAGLU",4669,"Profound Mental Retardation","C0020796",0.31,"Biomarker"
"896","CA8",767,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"897","ASCC3",10973,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"898","RALGDS",5900,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"899","AHI1",54806,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
"900","ZMYM2",7750,"Profound Mental Retardation","C0020796",0.3,"Biomarker"
